001;1;1;
002;2;1;
003;3;1;
004;4;1;
005;5;1;
006;6;1;
007;7;1;
008;8;1;
009;9;1;
010;10;1;
011;11;1;
012;12;1;
013;13;1;
014;14;1;
015;15;1;
016;16;1;
017;17;1;
018;18;1;
019;19;1;
020;20;1;
021;21;1;
022;22;1;
023;23;1;
024;24;1;
025;25;1;
026;26;0;
027;27;0;
028;28;0;
029;29;0;
030;30;0;
031;31;0;
032;32;0;
033;33;0;
034;34;0;
035;35;0;
036;36;0;
037;37;0;
038;38;0;
039;39;0;
040;40;0;
041;41;0;
042;42;0;
043;43;0;
044;44;0;
045;45;0;
046;46;0;
047;47;0;
048;48;0;
049;49;0;
050;50;0;
051;51;0;
052;52;0;
053;53;0;
054;54;0;
055;55;0;
056;56;0;
057;57;0;
058;58;0;
059;59;0;
060;60;0;
061;61;0;
062;62;0;
063;63;0;
064;64;0;
065;65;0;
066;66;0;
067;67;0;
068;68;0;
069;69;0;
070;70;0;
071;71;0;
072;72;0;
073;73;0;
074;74;0;
075;75;0;
076;76;0;
077;77;0;
078;78;0;
079;79;0;
080;80;0;
081;81;0;
082;82;0;
083;83;0;
084;84;0;
085;85;0;
086;86;0;
087;87;0;
088;88;0;
089;89;0;
090;90;0;
091;91;0;
092;92;0;
093;93;0;
094;94;0;
095;95;0;
096;96;0;
097;97;0;
098;98;0;
099;99;0;
100;100;0;
